,Sample,2015,2016,2017,Average
33,NJAU_C034,18.76666667,19.19933333,29.44,22.46866667
35,NJAU_C036,23.08333333,27.61566667,19.54666667,23.41522222
36,NJAU_C037,28.05533333,29.29833333,11.18666667,22.84677778
45,NJAU_C046,22.7,24.26133333,25.93,24.29711111
54,NJAU_C055,20.4,27.74333333,22.77666667,23.64
67,NJAU_C068,15.81433333,33.421,18.34666667,22.52733333
99,NJAU_C100,26.25,30.31366667,49.62333333,35.39566667
163,NJAU_C164,26.85566667,27.50666667,27.66333333,27.34188889
165,NJAU_C166,28.1835,31.8885,15.53333333,25.20177778
187,NJAU_C188,16.12,24.965,29.46333333,23.51611111
202,NJAU_C203,35.511,24.67433333,28.02666667,29.404
