,Sample,2015,2016,2017,Average
1,NJAU_C002,17.67233333,18.509,25.74666667,20.64266667
6,NJAU_C007,21.911,29.838,9.983333333,20.57744444
10,NJAU_C011,19.27,20.029,18.46333333,19.25411111
20,NJAU_C021,17.35166667,21.09533333,19.61,19.35233333
47,NJAU_C048,18.361,25.84666667,15.77333333,19.99366667
48,NJAU_C049,21.439,23.84866667,13.72333333,19.67033333
55,NJAU_C056,19.01666667,24.01866667,18.78333333,20.60622222
60,NJAU_C061,18.07833333,20.69333333,22.55,20.44055555
94,NJAU_C095,21.55566667,21.55766667,16.62666667,19.91333334
96,NJAU_C097,23.37033333,14.656,20.70333333,19.57655555
110,NJAU_C111,18.29466667,19.91233333,19.29666667,19.16788889
113,NJAU_C114,18.16233333,16.80766667,22.68666667,19.21888889
122,NJAU_C123,21.51,22.84933333,14.63333333,19.66422222
127,NJAU_C128,11.17,27.42266667,21.84666667,20.14644445
132,NJAU_C133,17.96666667,16.27033333,24.74333333,19.66011111
133,NJAU_C134,17.78566667,21.0115,20.94333333,19.9135
140,NJAU_C141,20.189,22.63866667,18.36666667,20.39811111
142,NJAU_C143,21.06133333,22.63233333,17.44666667,20.38011111
158,NJAU_C159,21.371,20.454,17.88,19.90166667
169,NJAU_C170,20.45333333,23.15333333,14.31666667,19.30777778
185,NJAU_C186,19.43566667,24.88766667,16.50333333,20.27555556
188,NJAU_C189,15.657,16.6815,27.33333333,19.89061111
198,NJAU_C199,15.57133333,18.583,23.14666667,19.10033333
199,NJAU_C200,16.75333333,19.57833333,21.58,19.30388889
213,NJAU_C214,19.83266667,18.49333333,,19.163
