Trait,Sample,2015,2016,2017,Average
grain_weight,NJAU_C003,7.206666667,10.606,13.82333333,10.54533333
grain_weight,NJAU_C010,8.89,7.406,15.74,10.67866667
grain_weight,NJAU_C014,8.712,15.044,8.223333333,10.65977778
grain_weight,NJAU_C017,11.73,6.707333333,12.56,10.33244444
grain_weight,NJAU_C018,10.45066667,12.02366667,8.683333333,10.38588889
grain_weight,NJAU_C022,10.25433333,13.84633333,7.226666667,10.44244444
grain_weight,NJAU_C031,6.099666667,10.26266667,14.38333333,10.24855556
grain_weight,NJAU_C039,4.926666667,9.241333333,17.38,10.516
grain_weight,NJAU_C074,6.649,7.780666667,18.21,10.87988889
grain_weight,NJAU_C078,8.249,9.6215,15.01333333,10.96127778
grain_weight,NJAU_C104,8.568666667,12.17533333,10.84333333,10.52911111
grain_weight,NJAU_C140,6.544333333,9.446,13.04666667,9.679000001
grain_weight,NJAU_C144,10.07433333,9.965333333,12.49,10.84322222
grain_weight,NJAU_C146,5.744333333,6.337,19.06,10.38044444
grain_weight,NJAU_C149,7.973333333,12.73466667,10.28666667,10.33155556
grain_weight,NJAU_C154,11.631,10.978,10.01666667,10.87522222
grain_weight,NJAU_C155,8.239,8.981333333,13.6,10.27344444
grain_weight,NJAU_C180,7.215666667,7.418333333,18.71666667,11.11688889
grain_weight,NJAU_C184,5.217,6.357,17.53,9.701333333
grain_weight,NJAU_C192,5.079,7.0195,16.71,9.602833333
