Trait,Sample,2015,2016,2017,Average
grain_weight,NJAU_C008,20.748,24.632,4.84,16.74
grain_weight,NJAU_C029,21.991,20.48233333,9.02,17.16444444
grain_weight,NJAU_C041,15.62233333,16.76333333,17.81,16.73188889
grain_weight,NJAU_C043,14.55666667,13.93866667,23.77,17.42177778
grain_weight,NJAU_C060,11.22933333,13.95933333,25.21,16.79955555
grain_weight,NJAU_C069,15.56833333,15.074,21.35666667,17.333
grain_weight,NJAU_C075,20.142,15.02733333,15.51,16.89311111
grain_weight,NJAU_C088,NA,15.9915,18.09,17.04075
grain_weight,NJAU_C091,13.14666667,15.38666667,22.61,17.04777778
grain_weight,NJAU_C093,14.71366667,17.15566667,16.6,16.15644445
grain_weight,NJAU_C094,14.10333333,16.61933333,20.42,17.04755555
grain_weight,NJAU_C103,13.50533333,18.15266667,17.89,16.516
grain_weight,NJAU_C105,16.091,15.757,19.82333333,17.22377778
grain_weight,NJAU_C112,17.03333333,19.39033333,12.72666667,16.38344444
grain_weight,NJAU_C127,13.389,14.96266667,20.4,16.25055556
grain_weight,NJAU_C130,11.17333333,17.288,22.35333333,16.93822222
grain_weight,NJAU_C136,13.73333333,19.50333333,17.39,16.87555555
grain_weight,NJAU_C138,11.033,16.0885,24.35333333,17.15827778
grain_weight,NJAU_C145,17.394,10.04,22.93,16.788
grain_weight,NJAU_C151,18.858,16.7085,12.21333333,15.92661111
grain_weight,NJAU_C153,13.04666667,13.25166667,21.91666667,16.07166667
grain_weight,NJAU_C156,13.039,16.95866667,18.68333333,16.227
grain_weight,NJAU_C167,15.28366667,12.529,22.76666667,16.85977778
grain_weight,NJAU_C175,19.501,18.14266667,14.27333333,17.30566667
grain_weight,NJAU_C178,14.202,17.14866667,17.49,16.28022222
grain_weight,NJAU_C179,11.58333333,13.846,24.91,16.77977778
grain_weight,NJAU_C195,13.32533333,19.868,19.17333333,17.45555555
grain_weight,NJAU_C209,16.86166667,19.1605,13.10666667,16.37627778
grain_weight,NJAU_C210,9.607666667,11.602,30.6,17.26988889
grain_weight,NJAU_C213,15.17666667,17.644,NA,16.41033334
grain_weight,NJAU_C219,20.439,22.44,8.146666667,17.00855556
